;;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERİ — ÜRÜN GİRİŞ ŞABLONU;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NO;ÜRÜN KİMLİĞİ;;;;TEKNİK ÖZELLİKLER;;;;;PAKETLEME;;TEDARİKÇİ;WEB / NOTLAR;;
30;Mikrotom bıçakları;Microtome blades;28407004;Plasma Blade LPH;Genel Sarf;Histology blade;100 упак/ pack;;"Disposable blades (plasma coated)
Low profile plasma LPH for hard specimens";Pack;100;Plasma Blade LPH;;;
31;Mayer Hematoksilin 1 L, BioWitrum;Mayer's Hematoxylin 1 L., BioWitrum;HК-G0-DL01;BioWitrum, Russia;Biyokimya;Histological staining reagent;10 литер/ liter;;;Bottle;1 L;BioWitrum, Russia;;;
32;Eozin su-alkollü konsantre 0,5 L, BioWitrum;Eosin water-alcoholic concentrated 0,5 L, BioWitrum;HК-EK-A500;BioWitrum, Russia;Biyokimya;Histological staining reagent;20 литер/ liter;;;Bottle;500 mL;BioWitrum, Russia;;;
33;PURELAB Option-R 7/15 ters ozmoz filtre kartuşu;PURELAB Option-R 7/15   Cartridge for reverse osmosis filters;LC143 Purelab Option 7/15 Reverse Osmosis;ELGA VEOLIA;Su Arıtma;Reverse osmosis membrane cartridge;33 pcs;"RO membrane cartridge for PURELAB Option-R 7/15 / Medica; removes inorganic & organic compounds; lifespan ~24 months";;Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Pulse.pdf;Replace every 24 months or when flow rate drops;
34;Purelab Option-R için UV lamba;UV lamp for Purelab Option-R;LC105 Purelab Option 7/15;ELGA VEOLIA;Su Arıtma;UV lamp for water purifier;33 pcs;"UV lamp (LC105) for PURELAB Option-R / Pulse; 254 nm germicidal UV; lifespan ~18 months";;Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Pulse.pdf;Replace every 12 months;
35;Purelab Option-R için saflaştırma paketi;Purification pack for Purelab Option-R;LC214 Purelab flex 3&4 Purification pack;ELGA VEOLIA;Su Arıtma;Purification cartridge pack;30 pcs;"LC214 DI purification pack for PURELAB flex 3/4; mixed-bed ion exchange resin; lifespan ~6 months";;Pack;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 6 months;
36;UV lamba 185/254 nm;UV lamp 185/254nm;LC210-02 Purelab flex 3&4 UV lamp;ELGA VEOLIA;Su Arıtma;UV lamp for water purifier;30 pcs;"UV lamp 185/254 nm (LC210-02) for PURELAB flex 3/4; destroys organics and bacteria; lifespan ~18 months";;Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 12-18 months;
37;Gliserin;Glycerin;ЧДА VKTN-138 ОКП 2632140072;Siemens Healthcare Diagnostics, USA;Genel Sarf;Glycerol / sample mounting medium;5 шт./ pcs;"Glycerin (Glycerol) ≥99.5% purity; pharmaceutical grade; used as mounting medium and preservative";;Bottle;1;Siemens Healthcare Diagnostics;https://www.labor.com.tr/urun/gliserin-99-5-farma-kalite-pur-gr-1-lt;Store at RT;
38;Emit® II Plus Etil Alkol reaktifi, 115 ml;Emit® II Plus EthylAlcohol reagent, 115 ml;Art 10445452 REF 9K309;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol assay reagent;60 упак/ pack;"EMIT II Plus Ethyl Alcohol reagent for quantitative ethanol determination in serum/plasma; 115 mL; for use with Viva/Dimension analyzer";"Application	Toxicology Reagent
For Use With	For Chemistry Analyzers
Specialty	Toxicology
Test Category	Drugs of Abuse
Test Name	Ethanol
Test Type	Single Drug
Volume	115 mL";Bottle;115 mL;Siemens Healthcare Diagnostics;https://mms.mckesson.com/product/1033981/Siemens-10445452;"Store at 2–8°C; REF 9K309";
39;EMIT® Alkol Yüksek Kontrol 300 mg/dL, 1x3 ml;EMIT® Alcohol High Control 300 MG/DL, 1x3 ml;Art 10445449 REF 9K079;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol control;4 упак/ pack;"EMIT Alcohol High Control 300 mg/dL; 1×3 mL; for QC of ethanol assay on clinical analyzers";"Application	Calibrator
For Use With	For Syva Emit Ethyl Alcohol Assays
Form	Liquid
Levels	High Level
Specialty	Toxicology
Storage Requirements	Keep Frozen
Test Category	Drugs of Abuse
Test Name	Ethanol
Volume	3 mL";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-high-control/01818110;"Store at 2–8°C; REF 9K079";
40;EMIT® Etil Alkol Düşük Kontrol 40 mg/dL, 1x3 ml;EMIT® Ethyl Alcohol Low Control 40 MG/DL, 1x3 ml;ART 10445447  REF 9K049;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol control;4 упак/ pack;"EMIT Ethyl Alcohol Low Control 40 mg/dL; 1×3 mL; for QC of ethanol assay";"Application	Control
Levels	Low Level
Test Category	Drugs of Abuse
Test Name	Ethanol
Test Type	Drugs of Abuse
Volume	3 mL";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-low-control/01818114;"Store at 2–8°C; REF 9K049";
41;EMIT® Alkol Negatif Kalibratör, 1x3 ml;EMIT® Alcohol Negative Calibrator, 1x3 ml;ART 10445445  REF 9K029;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol calibrator;4 упак/ pack;"EMIT Alcohol Negative Calibrator; 1×3 mL; zero-level calibrator for ethanol assay";"Application	Calibrator
For Use With	For Syva Emit Ethyl Alcohol Assays
Form	Liquid
Levels	Negative Level
Specialty	Toxicology
Storage Requirements	Keep Frozen
Test Category	Drugs of Abuse
Test Name	Ethanol
Volume	3 mL";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-negative-calibrator/21280115;"Store at 2–8°C; REF 9K029";
42;EMIT® Alkol Kalibratörü 100 mg/dL, 1x3 ml;EMIT® Alcohol Calibrator 100 MG/DL, 1x3 ml;ART 10445448 REF 9K059;Elitech Clinical Systems, France;Biyokimya;EMIT ethanol calibrator;4 упак/ pack;"EMIT Alcohol Calibrator 100 mg/dL; 1×3 mL; mid-level calibrator for ethanol assay";"Application	Calibrator
For Use With	For Syva Emit Ethyl Alcohol Assays
Form	Liquid
Levels	100 mg / dL
Specialty	Toxicology
Storage Requirements	Keep Frozen
Test Category	Drugs of Abuse
Test Name	Ethanol
Volume	3 mL";Vial;1×3 mL;Elitech Clinical Systems, France;https://www.fishersci.com/shop/products/alcohol-calibrator/21280114;"Store at 2–8°C; REF 9K059";
43;EPSON Şerit Kartuşu ERC-09;EPSON Ribbon Cartridge ERC-09;EPSON Ribbon Cartridge ERC-09 CHINA PAT.P.;Epson, China;Genel Sarf;Printer ribbon cartridge;10 упак/ pack;;Epson ERC09B: Ribbon Cartridge HX-20, M-160/M-180/M-190 series, black;Cartridge;1;Epson;;;
44;"""ClipTip"" filtreli pipet uçları, 1000 µl, 8×96 adet";"""ClipTip"" pipette tips, filtered, 1000 µl, 8*96 pcs";REF 94420713;Thermo Fisher Scientific, USA;Pipetleme;Filtered pipette tip;3 упак/ pack;"ClipTip filtered pipette tip 1000 µL; sterile; with clip-in rack; 8×96 tips/pack; compatible with ClipTip pipettes";"Ensure a secure seal for every sample. A unique, innovative interlocking technology ensures a complete seal on every channel with minimal tip attachment and ejection force.

Ensure a secure seal for every sample. Thermo Scientific™ ClipTip™ Pipette Tips provide a secure seal for every sample with a unique and innovative interlocking technology that ensures a complete seal on every channel with minimal tip attachment and ejection force. Achieve newfound confidence knowing that once attached, your tips are locked firmly in place, and will not loosen or fall off regardless of application pressure. The innovative three interlocking clip design ensures the tip is held securely on the F1-ClipTip and E1-ClipTip pipettes until — and only until — it is released.

Key Features:

ClipTip pipette tips feature 'clips' that lock tips in place and form a complete seal
Each time ClipTip pipette tips are on, they are sealed and will not loosen regardless of application pressure
ClipTip pipette tips are clipped securely on the F1-ClipTip and E1-ClipTip pipettes with a light touch eliminating the frustration of banging tips on your pipette
Filtered ClipTip pipette tips are ideal for sensitive assays, such as PCR, and with critical samples to prevent cross-contaminations
Low retention

Low retention technology minimizes liquid retention, and enable maximium sample recovery. Available in ClipTip 20-1250 96-format tips.

Proven quality

Certified free of RNase, DNase, DNA, ATP and endotoxin contamination

Environmentally responsible

ClipTip reload system uses recycled components and 30% less plastic

Versatile Tip Range

96-format volumes: 12.5, 20, 50, 200, 300, 1000 and 1250μL
384-format volumes: 12.5, 30 and 125μL
Extended length tips available for volumes 12.5 and 300 μl allowing for better reach with specific labware consumables

Immediate traceability

Each tip insert has ink-jetted lot and volume information; the convenient color key makes it easy to match the color code of the F1-ClipTip and E1-ClipTip pipette with the corresponding ClipTip pipette tip rack insert";Pack;768 tips (8×96);Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/94420713;"Store at RT; DNase/RNase-free";
45;ClipTip™ filtreli pipet uçları;"ClipTip&trade; Filtered Pipette Tips";REF 94410713;Thermo Fisher Scientific, USA;Pipetleme;Filtered pipette tip;17 pack;"ClipTip filtered pipette tip; sterile; rack format; compatible with ClipTip pipettes";"Ensure a secure seal for every sample, with these pipette tips. A unique, innovative interlocking technology ensures a complete seal on every channel with minimal tip attachment and ejection force.

Ensure a secure seal for every sample. Thermo Scientific™ ClipTip™ Pipette Tips provide a secure seal for every sample with a unique and innovative interlocking technology that ensures a complete seal on every channel with minimal tip attachment and ejection force. Achieve newfound confidence knowing that once attached, your tips are locked firmly in place, and will not loosen or fall off regardless of application pressure. The innovative three interlocking clip design ensures the tip is held securely on the F1-ClipTip and E1-ClipTip pipettes until — and only until — it is released.

Key Features:

ClipTip pipette tips feature 'clips' that lock tips in place and form a complete seal
Each time ClipTip pipette tips are on, they are sealed and will not loosen regardless of application pressure
ClipTip pipette tips are clipped securely on the F1-ClipTip and E1-ClipTip pipettes with a light touch eliminating the frustration of banging tips on your pipette

Low retention

Low retention technology minimizes liquid retention, and enable maximium sample recovery. Available in ClipTip 20-1250 96-format tips.

Proven quality

Certified free of RNase, DNase, DNA, ATP and endotoxin contamination

Environmentally responsible

ClipTip reload system uses recycled components and 30% less plastic

Versatile Tip Range

96-format volumes: 12.5, 20, 50, 200, 300, 1000 and 1250μL
384-format volumes: 12.5, 30 and 125μL
Extended lenght tips available for volumes 12.5 and 300 μl allowing for better reach with specific labware consumables

Immediate traceability

Each tip insert has ink-jetted lot and volume information; the convenient color key makes it easy to match the color code of the F1-ClipTip and E1-ClipTip pipette with the corresponding ClipTip pipette tip rack insert";Pack;1;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/94410713;"Store at RT; DNase/RNase-free";
46;Agilent GC için helyum gazı, %99,999, 50 L;Helium gas for Agilent GC, 99.999%, 50 L;"99,9999%, 50 Litr
CAS №: 7440-59-7
EC №: 231-168-5";Asalgaz, Turkey;Genel Sarf;Laboratory gas - Helium;50 pcs;;;Cylinder;50 L;Asalgaz, Turkey;;;
47;Agilent GC için argon gazı, %99,99, 50 L;Argon gas for Agilent GC, 99.99%, 50 L;"99,999%, 50 Litr
CAS №: 7440-37-1
EC №: 231-147-0";Asalgaz, Turkey;Genel Sarf;Laboratory gas - Argon;10 шт./ pcs;;;Cylinder;50 L;Asalgaz, Turkey;;;
48;Carl Roth Sodyum klorür, ≥%99,5, 1 kg;Carl Roth Sodium chloride, ≥99.5 %, 1 kg;art № 3957.1;Carl Roth, Germany;Biyokimya;Inorganic salt;50 упак/ pack;"Sodium chloride ≥99.5% purity; analytical grade; 1 kg; Art. 3957.1";"Common salt
Empirical formula NaCl
Molar mass (M) 58,44 g/mol
Density (D) 2,17 g/cm³
Boiling point (bp) >1450 °C
Melting point (mp) 801 °C
WGK 1
CAS No. 7647-14-5
EG-Nr. 231-598-3

Without anti-caking agent, caking possible
For cell culture and biochemistry.";Bottle;1 kg;Carl Roth, Germany;https://www.carlroth.com/en-gb/catalogue/sodium-chloride/p/3957.1;Store at RT in dry conditions;
49;Amonyum format, 100 g;Ammonium formate, 100g;17843-50mg;Carl Roth, Germany;Biyokimya;LC-MS reagent;1 упак/ pack;"Ammonium formate 97%, HPLC grade; 100 g; Art. 17843; for LC-MS mobile phase preparation";"Quantity 50 g
Linear Formula HCO2NH4
UN Number NONH for all modes of transport
Beilstein 3625095
Solubility Information Soluble in water 0.1g/mL at 25°C
Formula Weight 63.06g/mol
Percent Purity ≥99%
Density 1.26g/mL at 25°C
Chemical Name or Material Ammonium Formate";Bottle;100 g;Carl Roth, Germany;https://www.carlroth.com/com/en/starting-material-for-eluent-mixtures/ammonium-formate/p/1ntk.2;Store at RT;
50;Formik asit Rotipuran, %99, 50 ml;Formic acid Rotipuran, 99%, 50 ml;85049-051;Carl Roth, Germany;Biyokimya;LC-MS reagent;1 упак/ pack;"Formic acid Rotipuran ≥99%, p.a.; 50 mL; Art. 4724; for LC-MS mobile phase preparation";"Formylic acid, Methanoic acid, Hydrogen carboxylic acid
Empirical formula CH2O2
Molar mass (M) 46,02 g/mol
Density (D) 1,22 g/cm³
Boiling point (bp) 101 °C
Flash point (flp) 49 °C
Melting point (mp) 4 °C
ADR 8 II
WGK 1
CAS No. 64-18-6
EG-Nr. 200-579-1
UN-Nr. 1779";Bottle;50 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/starting-material-for-eluent-mixtures/formic-acid/p/1ehk.1;"Corrosive; store at RT in fume hood area";
51;ROTI tampon çözeltisi, pH 4,00 ±0,02, 500 ml;ROTI buffer solution, pH 4.00 ±0.02, 500 ml;Артикул: P712.3     VWR 32095.184;Carl Roth, Germany;Biyokimya;pH buffer solution;1 упак/ pack;"ROTI buffer pH 4.00 ±0.02; certified reference material; 500 mL; Art. P712.3";"Density (D) 1,007 g/cm³
Boiling point (bp) 100 °C
WGK 1

Citric acid, caustic soda lye, sodium chloride";Bottle;500 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/rotistar-ph-buffer-solutions/buffer-solution-ph-4-00-%C2%B10-01-%2820-%C2%B0c%29/p/9974.1;Store at RT;
52;ROTI tampon çözeltisi, pH 10,00 ±0,02, 500 ml;ROTI buffer solution, pH 10.00 ±0.02, 500 ml;Артикул: P716.2 VWR 32040.185;Carl Roth, Germany;Biyokimya;pH buffer solution;1 упак/ pack;"ROTI buffer pH 10.00 ±0.02; certified reference material; 500 mL; Art. P716.2";"Density (D) 1,008 g/cm³
Boiling point (bp) ~100 °C

Boric acid, caustic soda lye, potassium chloride";Bottle;500 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/rotistar-ph-buffer-solutions/buffer-solution-ph-10-00-%C2%B10-01-%2820-%C2%B0c%29/p/9983.1;Store at RT;
53;Hidrojen iz jeneratörü için elektrolitik hücre bloğu;Electrolytic cell block for Hydrogen Trace generator;"08-9412
08-3609
08-3644
08-3609
08-3543";Peak Scientific, UK;Genel Sarf;Hydrogen generator electrolytic cell;1 шт./ pcs;"Electrolytic cell block / cell stack for Peak Hydrogen Trace generator; spare part; Art. 08-9412/08-3609/08-3644/08-3543";;Pack;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;"Handle carefully; high-purity electrolyte";
54;Precision Hydrogen Trace için elektrolitik hücre bloğu;Electrolytic cell block for Precision Hydrogen Trace;05-1007;Peak Scientific, UK;Genel Sarf;Hydrogen generator electrolytic cell;1 шт./ pcs;"Electrolytic cell block for Precision Hydrogen Trace generator; Art. 05-1007";;Pack;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;;
55;Peak Precision Hydrogen Trace için servis kiti, 1 yıl;Service kit for Peak Precision Hydrogen Trace, 1-year;08-3609;Peak Scientific, UK;Genel Sarf;Hydrogen generator service kit;2 набор/ kit;"Annual service kit for Precision Hydrogen Trace generator; includes valve (02-6051) ×2 and double cylinder assembly (05-1047) ×2; Art. 08-3609";;Kit;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;Annual maintenance;
56;Precision Hydrogen Trace için Peak servis kiti, 1 yıl;Peak service kit, Precision Hydrogen Trace, 1 year;art № 08-9412   Комплект для ежегодного ремонта Precision Hydrogen Trace (08-9412)  В комплект входит: Клапан (арт. №02-6051)- 2 шт., Двойной цилиндр в сборе (арт. №05-1047)-2 шт.;Peak Scientific, UK;Genel Sarf;Hydrogen generator service kit;2 набор/ kit;"Annual service kit for Precision Hydrogen Trace generator; includes valves and cylinder assembly; Art. 08-9412";;Kit;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;"Annual maintenance; Art. 08-9412";
57;Standart numune, kan alkolü ve florür kantifikasyonu, 10 ml;Standard sample, Blood alcohol and fluoride quantification, 10 ml;;LGC Limited, USA;Biyokimya;Blood alcohol standard;2 упак/ pack;;;Bottle;10 mL;LGC Standards / Cerilliant;;;
58;Kalibrasyon çözeltisi Cerilliant, etanol kalibrasyon kiti, 10 × 1,2 ml;Calibration solution Cerilliant, Ethanol calibration kit, 10 x 1.2 ml;CERE-034;LGC Limited, USA;Biyokimya;Ethanol calibration kit;4 упак/ pack;"Cerilliant ethanol calibration kit; 10×1.2 mL ampules; for GC headspace blood alcohol analysis; CERE-034";"Storage Temperature +4°C

Shipping Temperature No freezing

Tariff Code 38220000

Product Format Single Solution

Matrix Water
";Kit;10×1.2 mL;LGC Standards / Cerilliant;https://www.lgcstandards.com/DE/en/Ethanol-calibration-kit/p/CERE-034;Store at +4°C;
59;Cerilliant etanol kalibrasyon kiti, 10 × 1,2 ml;Cerilliant Ethanol calibration kit, 10 x 1.2 ml;E-034-1KIT,  CAS Number 64-17-5;LGC Limited, USA;Biyokimya;Ethanol calibration kit;4 упак/ pack;"Cerilliant ethanol calibration kit; 10×1.2 mL; CAS 64-17-5; E-034-1KIT";"Storage Temperature +4°C

Shipping Temperature No freezing

Tariff Code 38220000

Product Format Single Solution

Matrix Water
";Kit;10×1.2 mL;LGC Standards / Cerilliant;https://www.cerilliant.com/products/catalog/items/details?itemNo=c6505bee-b8bb-4198-a08e-eb5d9479a800&item=E-034;1.2 mL/ampoule, 2 ampoules of each concentration, 10 ampoules/kit;
60;Vidalı kapaklı idrar kapları, 100 ml, 500 adet/paket;Urine containers with screw cap, 100 ml, 500 pcs/pack;Order number 75.1354.001;Kabe Labortechnik, Германия / Germany;Genel Sarf;Sample collection container;10 упак/ pack;"Polypropylene urine sample container with screw cap; 100 mL; 500 pcs/pack; sterile";"Container with screw cap, collection and storage of urine,
max. working volume: 100 ml, Ø opening: 58 mm,
transparent, graduated, material: PP, screw cap,";Pack;500;Kabe Labortechnik, Germany;https://www.trendyol.com/genel-markalar/idrar-numune-kabi-kirmizi-250-adet-100-ml-p-88729811;"Single use; sterile";
61;VACUSERA vakum tüpleri, NaF+K3 EDTA, 4 ml, 1200 adet;VACUSERA vacuum tubes, NaF+K3 Edta, 4 ml, 1200 pcs;234704;Disera,  / Turkey;Genel Sarf;Vacuum blood collection tube;6 упак/ pack;;"Пробирки VACUSERA Na фторид + К3 ЭДТА — одноразовые вакуумные пробирки для
забора крови.
Наполнитель: фторид натрия + К3 ЭДТА.
Применение: можно использовать в течение 48 часов для анализа глюкозы. 
Перемешивание: 8–10 мин.
Центрифугирование: 1300 g, 10 мин.
Срок годности: 18 месяцев.
В упаковке: 100 / 1200 шт. ";;;Disera, Turkey;;;
62;Agilent LC servis kiti, 1 yıl (Jet Clean dahil);Agilent LC service kit, 1 year (with jet clean);G2571-67001  G1964-20402;Agilent;Genel Sarf;HPLC maintenance kit;2 набор/ kit;"Agilent LC annual service kit with Jet Clean; includes seals, pistons and wash kit; G2571-67001 / G1964-20402";"Canted coil spring, 8.9 mm OD. Classified as a consumable part for Liquid
Chromatograph-Mass Spectrometer and related instrument repair and
maintenance. Intended as a replacement spring component for instrument
assemblies requiring a canted coil spring of 8.9 mm outer diameter.
Key Features:
Part number: G2571-67001
Product type: Canted coil spring
Outer Diameter (OD): 8.9 mm
UNSPSC Code: 41115717";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G2571-67001;Annual preventive maintenance;
63;Agilent LC için servis kiti, 1 yıl (Jet Clean dahil);Service kit for Agilent LC, 1-year (incl. Jet Clean);G2571-67001 Canted Coil Spring, 8.9mm OD | ChromTech    .;Agilent;Genel Sarf;HPLC maintenance kit;2 набор/ kit;"Agilent LC annual service kit with Jet Clean; G2571-67001";"QuickPick PM kit, for split inlet and vent. The kit is a manufacturer-specified
preventive-maintenance (PM) kit for Agilent split inlets and split vent assemblies and
lists the included replacement components. It is provided to support routine inlet
and split-vent maintenance by supplying the parts called out by Agilent on the
product page.
Key Features:
Includes one split liner (part 5183-4647)
Includes five Non-Stick BTO septa (from part 5183-4757)
Includes one Non-Stick inlet liner O-ring (from part 5188-5365)
Includes one Gold Seal and washer kit (part 5188-5367)
Includes one split vent cartridge
Includes two O-rings for the split vent (part 5188-6495)";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G2571-67001;Annual preventive maintenance;
64;Agilent GC cihazı için servis kiti, 1 yıl;Service kit for Agilent GC instrument, 1-year;Part Number: 5188-6496;Agilent;Genel Sarf;GC maintenance kit;2 набор/ kit;"Agilent GC 7890 annual service kit; Part 5188-6496; includes septa, liners, ferrules and O-rings";"QuickPick PM kit, for split inlet and vent. The kit is a manufacturer-specified
preventive-maintenance (PM) kit for Agilent split inlets and split vent assemblies and
lists the included replacement components. It is provided to support routine inlet
and split-vent maintenance by supplying the parts called out by Agilent on the
product page.
Key Features:
Includes one split liner (part 5183-4647)
Includes five Non-Stick BTO septa (from part 5183-4757)
Includes one Non-Stick inlet liner O-ring (from part 5188-5365)
Includes one Gold Seal and washer kit (part 5188-5367)
Includes one split vent cartridge
Includes two O-rings for the split vent (part 5188-6495)";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-5188-6496/5188-6496;Annual preventive maintenance;
65;GC 7890 için filament montajı (G7005-60061);Filament Assembly for GC 7890 (G7005-60061);Part № G7005-60061;Agilent;Genel Sarf;GC spare part - filament;4 упак/ pack;"Filament assembly for Agilent GC 7890 detector; Part G7005-60061";"The Agilent high temperature EI filament (G7005-60061) is a replacement electron
ionization (EI) filament for Agilent GC/MS systems. Filaments provide a stream of
electrons that ionize compounds as they enter the EI source, and this hightemperature filament is supplied for use in EI sources (including Stainless, Inert, and
Extractor source types). The product page and Agilent knowledge articles identify it
as the single high-temperature EI filament that replaced earlier EI filament part
numbers to serve the required EI and EI RIS dimensional requirements.
Key Features:
Instrument compatibility: 5973, 5975, 5977, 7000A, 7000B, 7000C, 7200
Product type / sub-model: High temperature EI filament
Filament functional element: four-coil rhenium wire (functional component
unchanged)
Base material: alumina base (newer design)
Design features: chamfered tips on posts to ease insertion";Pack;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G7005-60061/G7005-60061;"Fragile; handle with care";
66;Agilent için polimer ayaklı vial insertleri, 100 adet;Vial inserts with polymer feet for Agilent, 100 pcs;5181-1270;Agilent;Genel Sarf;GC vial insert;10 упак/ pack;"Deactivated vial inserts with polymer feet for Agilent LC/GC autosampler; 100 pcs; Art. 5181-1270";"Agilent 250 µL conical vial inserts with polymer feet are glass inserts sized 5.6 x 30
mm designed for use in wide-opening vials. They provide a 250 µL sample
containment volume and are intended to concentrate and present small sample
volumes for GC and LC analysis, improving recovery and handling of low-volume
samples. Agilent lists compatibility with major vial manufacturers and specifies GC
and LC techniques for use.
Key Features:
이
이
Volume: 250 µL.
Material: Glass insert with polymer feet.
Insert dimensions: 5.6 x 30 mm.
Pack quantity: 100 inserts per pack.
Insert type: Conical with polymer feet, for wide-opening vials.
Technique compatibility: Listed for GC and LC use.";Pack;100;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-5181-1270/5181-1270;;
67;Agilent 7890 AP kartı (analog ve güç devresi) (yenilenmiş);Agilent 7890 AP Board (Analog & power printed circuit) (G3430-61850/G3430-60151/G3430-60150) (Refurbished);G3430-60151;Agilent;Genel Sarf;GC spare part - circuit board;2 упак/ pack;"Agilent 7890 Analog & Power Printed Circuit Board (AP Board); G3430-60151; refurbished";"Obsolete. No replacement recommendation. FP Analog And Power PCA
";Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G3430-60151;Obsolete. No replacement recommendation. FP Analog And Power PCA;
68;Agilent GC 7890 sistemi için ana kart;Mainboard for Agilent GC 7890 system;OEM Reference Number: G1099-65010;Agilent;Genel Sarf;GC spare part - mainboard;1 упак/ pack;"Mainboard for Agilent GC 7890 system; OEM Ref G1099-65010";"Mainboard PCA, for gas chromatography/mass spectrometry printed circuit boards, used with series 5973
";Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G1099-65010;ESD sensitive;
69;1290 Infinity II otomatik örnekleyici için servis kiti;Service kit for 1290 Infinity II autosampler;G7161-68740;Agilent;Genel Sarf;HPLC autosampler service kit;2 упак/ pack;"Service kit for Agilent 1290 Infinity II autosampler; G7161-68740; includes needle, seals, rotor";"Preventive Maintenance Kit for
1290 Infinity II Preparative Binary Pump
(G7161B), with 200 mL/min Pump Heads";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G7161-68740;Annual maintenance;
70;1260 Infinity II otomatik örnekleyici için servis kiti;Service kit for 1260 Infinity II autosampler;G1329B;Agilent;Genel Sarf;HPLC autosampler service kit;2 упак/ pack;"Service kit for Agilent 1260 Infinity II autosampler; G1329B; includes needle seat and seals";"This kit contains all the parts necessary to keep
Agilent® 1100, 1120, 1200, 1220, 1260, G1313A, and G1329A/B HPLC systems working at peak performance. It is comparable to Agilent® part number G1313-68719.

 Seal, Pump (CTS-10621)
1 Needle Assembly (CTS-10835)
1 2 Position/6 Port Rotor Seal,
Vespel® (600 bar) (CTS-12012)
1 Needle Seat, Std., PEE";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G1329-60008;Annual maintenance;
71;1290 Infinity II pompa için servis kiti;Service kit for 1290 Infinity II pump;G1310-68741;Agilent;Genel Sarf;HPLC pump service kit;2 упак/ pack;"Service kit for Agilent 1290 Infinity II pump; G1310-68741; includes pistons, seals, check valves";"This PM kit contains all the parts necessary to keep Agilent® 1220 and 1260 HPLC systems working at peak performance. It is comparable to Agilent® part number G1310-68741.

1 Black Piston Seals, 2/pk
(CTS-10417)
1 Seal Cap Assembly
(CTS-A11454)
1 PTFE Frits, 5/pk (CTS-10683)";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G1310-68741/G1310-68741;Annual maintenance;
72;1290 Infinity II otomatik örnekleyici için PM kiti;PM kit for 1290 Infinity II autosampler;G1313-68719;Agilent;Genel Sarf;HPLC autosampler PM kit;2 упак/ pack;"Preventive maintenance kit for Agilent 1290 Infinity II autosampler; G1313-68719";"This kit contains all the parts necessary to keep
Agilent® 1100, 1120, 1200, 1220, 1260, G1313A, and G1329A/B HPLC systems working at peak performance. It is comparable to Agilent® part number G1313-68719.

1 Seal, Pump (CTS-10621)
1 Needle Assembly (CTS-10835)
1 2 Position/6 Port Rotor Seal,
Vespel® (600 bar) (CTS-12012)
1 Needle Seat, Std., PE";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G1313-68719/G1313-68719;Annual maintenance;
