;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERÝ — ÜRÜN GÝRÝÞ ÞABLONU;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
NO;ÜRÜN KÝMLÝÐÝ;;;;TEKNÝK ÖZELLÝKLER;;;;PAKETLEME;;TEDARÝKÇÝ;WEB / NOTLAR;;
70;1260 Infinity II otomatik örnekleyici için servis kiti;Service kit for 1260 Infinity II autosampler;G1329B;Agilent;Genel Sarf;HPLC autosampler service kit;2 ????/ pack;"Service kit for Agilent 1260 Infinity II autosampler; G1329B; includes needle seat and seals";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G1329-60008;Annual maintenance;
71;1290 Infinity II pompa için servis kiti;Service kit for 1290 Infinity II pump;G1310-68741;Agilent;Genel Sarf;HPLC pump service kit;2 ????/ pack;"Service kit for Agilent 1290 Infinity II pump; G1310-68741; includes pistons, seals, check valves";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G1310-68741/G1310-68741;Annual maintenance;
72;1290 Infinity II otomatik örnekleyici için PM kiti;PM kit for 1290 Infinity II autosampler;G1313-68719;Agilent;Genel Sarf;HPLC autosampler PM kit;2 ????/ pack;"Preventive maintenance kit for Agilent 1290 Infinity II autosampler; G1313-68719";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G1313-68719/G1313-68719;Annual maintenance;
73;Cary 60 için sertifikalý nötr yoðunluk cam filtreler;Certified neutral density glass filters for Cary 60;???????: 218006500;Agilent;Genel Sarf;UV-Vis spectrophotometer filter;1 ????/ pack;"Certified neutral density glass filters for Agilent Cary 60 UV-Vis spectrophotometer; Art. 218006500";Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=218006500;;
74;GC Headspace için deaktivasyonlu FS kolon, 0,53 mm;Deactivated FS column for GC Headspace, 0.53mm;Part Number:160-2535-5;Agilent;Genel Sarf;GC column;4 ????/ pack;"Deactivated fused silica (FS) transfer line/column for GC headspace; 0.53 mm ID; Part 160-2535-5";Pack;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-160-2535-5/160-2535-5;;
75;Agilent Headspace örnekleyici için ferrüller, 0,53 mm;Ferrules for Agilent Headspace sampler, 0.53 mm;0100-2595;Agilent;Genel Sarf;GC ferrule;10 ????/ pack;"Graphite/vespel ferrules for Agilent headspace sampler; 0.53 mm; 5/pack; Art. 0100-2595";Pack;5;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-0100-2595/0100-2595;;
76;Headspace örnekleyici için ferrüller, 0,53 mm;Ferrules for Headspace sampler, 0.53 mm;Part ? 8002-0217;ELGA VEOLIA;Genel Sarf;GC ferrule;10 pack;"Ferrules for GC headspace sampler; 0.53 mm; Art. 8002-0217; 10 pcs/pack";Pack;10;ELGA LabWater (Veolia);https://www.scientificlabs.co.uk/product/chromatography-accessories/8002-0217;;
77;Elga deiyonizatör için kartuþ (LC-140);Cartridge (LC-140) for Elga Deionizer;TR-LC140 Preteatment purelab    Medica &Option7/15;ELGA VEOLIA;Su Arýtma;Water purifier pre-treatment cartridge;3 pack;"LC-140 pre-treatment cartridge for ELGA Medica/Option-R deionizer; removes chlorine and organics; lifespan ~6 months";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Option%20R.pdf;Replace every 6 months;
78;Purelab deiyonizatör için kartuþ (LC-214);Cartridge (LC-214) for Purelab Deionizer;LC-214 ELGA 2-06620;ELGA VEOLIA;Su Arýtma;Water purifier DI cartridge;3 pack;"LC-214 mixed-bed DI purification cartridge for PURELAB flex/Deionizer; lifespan ~6 months";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 6 months;
79;Purelab için UV lamba 185/254 nm (LC-210-02);UV lamp 185/254nm (LC-210-02) for Purelab;UV lamp 185/254nm LC-210-02;ELGA VEOLIA;Su Arýtma;UV lamp for water purifier;3 pack;"UV lamp 185/254 nm (LC-210-02) for PURELAB system; destroys organics and microorganisms; lifespan 12–18 months";Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_4.pdf;Replace every 12–18 months;
80;Purelab için kompozit hava filtresi (LC 136 M2);Composite air filter (LC 136 M2) for Purelab;LC 136 M2  REF: INST36651;ELGA VEOLIA;Su Arýtma;Composite air vent filter;3 pack;"LC 136 M2 composite vent filter for PURELAB system; prevents recontamination; REF INST36651; lifespan 12 months";Filter;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/medica-7-15;Replace every 12 months;
81;Purelab için DI kartuþ paketi (LC-141);DI Cartridge pack (LC-141) for Purelab;TR-LC141 PURELAB & Medica DI Pack;ELGA VEOLIA;Su Arýtma;Water purifier DI cartridge pack;3 ????/ pack;"LC-141 DI cartridge pack for PURELAB Medica/Option systems; twin-bed ion exchange; lifespan ~6 months";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Option%20R.pdf;Replace every 6 months;
82;Nerbe Plus santrifüj tüpleri, 15 ml, 500 adet;;SKU 02-502-8001;Nerbe Plus, Germany;Genel Sarf;Centrifuge tube;10 ????/ pack;;Pack;500;Nerbe Plus, Germany;;;
83;Ýmmünokromatografik test þeritleri (COC, mAMP, BZO);Immunochromatographic test strips (COC, mAMP, BZO);???????: 00065752;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;100 ????/ pack;;Pack;100 tests;T&D Innovationen GmbH;;;
84;Ýmmünokromatografik test þeritleri (BAR, MDMA, MTD);Immunochromatographic test strips (BAR, MDMA, MTD);???????: 96694;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 ????/ pack;;Pack;10 tests;T&D Innovationen GmbH;;;
85;Ýmmünokromatografik test þeritleri (sentetik kannabinoidler);Immunochromatographic test strips (Synthetic cannabinoids);???????: 100299;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 ????/ pack;;Pack;10 tests;T&D Innovationen GmbH;;;
86;Ýmmünokromatografik test þeritleri (etanol / ETG);Immunochromatographic test strips (Ethanol / ETG);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 ????/ pack;;Pack;10 tests;T&D Innovationen GmbH;;;
87;R1-IK-200609-19 raporu için termal kaðýt rulosu (57 mm × 10 m, iç çap 12 mm);Roll thermal paper for R1-IK-200609-19 report (57 mm ? 10m, ??.12??.);;T&D Innovationen GmbH;Genel Sarf;Thermal paper roll;20 ????/ pack;"Thermal paper roll 57 mm × 10 m; core 12 mm; for R1-IK-200609-19 analyzer printer; 20 rolls/pack";Roll;20 rolls;T&D Innovationen GmbH;https://www.rulomerkezi.com/56x12-metre-yazar-kasa-pos-rolosu-10lu-paket-kagit-3060-fiyati-30-60;;
88;Ýmmünokromatografik test þeritleri (COC, mAMP, BZO);Immunochromatographic test strips (COC, mAMP, BZO);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;100 ????/ pack;;Pack;100 tests;T&D Innovationen GmbH;;;
89;Ýmmünokromatografik test þeritleri (BAR, MDMA, MTD);Immunochromatographic test strips (BAR, MDMA, MTD);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;20 ????/ pack;;Pack;20 tests;T&D Innovationen GmbH;;;
90;Optik filtre D-K-18752-01-00;Optical Filter D-K-18752-01-00;D-K-18752-01-00;Hellma Analytics;Genel Sarf;Optical filter;1 ????. / pack;"Certified neutral density optical filter; 0.5 Abs; for Hellma cuvette systems and spectrophotometer calibration";Pack;1;Hellma Analytics;https://shop.hellmausa.com/products/666-f3-0-5-abs;;
91;ABBOTT IMMTOX 270 Kimya Analizörü (510K onaylý), tüm gerekli reaktifler, kitler, kalibratörler ve kontroller dahil komple sistem;ABBOTT IMMTOX 270 Chemistry Analyser (510K cleared) to be provided as a complete system, including all original Abbott brand reagents, kit sets, calibrators, and controls required to perform the following tests: 6-AM (347UR), AMP (309UR), BAR (310UR), BZO (314UR), COC (306UR), BUP (336UR), THC (305UR), EDDP (349UR), ETH (504), EtG (341UR), FEN (618UR), KET (340UR), MEP (303), MAMP (311UR), OPI (307UR), SYN-JWH (344), SYN-UR144 (346), SYN-ABP (350), TRA (304UR), Specimen Validity Tests (SUP-5 );6-AM (347UR), AMP (309UR), BAR (310UR), BZO (314UR), COC (306UR), BUP (336UR), THC (305UR), EDDP (349UR), ETH (504), EtG (341UR), FEN (618UR), KET (340UR), MEP (303), MAMP (311UR), OPI (307UR), SYN-JWH (344), SYN-UR144 (346), SYN-ABP (350), TRA (304UR), Specimen Validity Tests (SUP-5 );Abbott;Biyokimya;Clinical chemistry analyzer system;1 ?????/ set;"Abbott IMMTOX 270 Chemistry Analyzer with reagents for 20 drug/metabolite panels including ETH, EtG, OPI, COC, THC, BZO, AMP, BAR etc.; 510K cleared";Kit;1 set;Abbott;https://www.toxicology.abbott/us/en/products/immtox--270-benchtop-analyzer.html;Consult Abbott service for installation and maintenance;
92;1 adet SoToxa Mobil Test Sistemi, 250 adet test kiti, 25 adet Quantisal oral sývý toplama cihazý;1pcs -SoToxa Mobile Test System , 250pcs -Test Kits, 25pcs -Quantisal Oral Fluid Collection Device (QSI-NINT);;Abbott;;;1 ?????/ set;;;;;https://www.toxicology.abbott/us/en/products/sotoxa-mobile-test-system.html;;
93;BIOSENS 900 iz tespit analizörü (tüm sarf malzemeleri dahil);BIOSENS 900 Treace Detecting Analyzer (with all consumables);;Biosensor;Biyokimya;Oral fluid drug testing system;1 ?????/ set;;Kit;1 set;Abbott;;;
TOPLAM KAYIT;;93;;;;;;;;;;;;
